app_name,size
pranjal065/process_fest,8262.0
JulianHame/sentiment-analysis-app,2317.56
Pruthul/CS482-104-Milestone2,3393.76
alpha-hp/twitter-s,2031.52
alpha-hp/cardiffnlp-twitter-roberta-base-sentiment-latest,1891.52
metaknightccc/sentiment-analysis-app,19061.680000000004
JKJanosko/Toxicity-Analysis,150526.52
kya5/CS482-Milestone2,2718.52
bobrooos/cardiffnlp-twitter-roberta-base-sentiment-latest,1890.52
zox47/cardiffnlp-twitter-roberta-base-sentiment-latest,1888.52
MikeJeong/CS482-FineTune,5849.5599999999995
MikeJeong/CSProject,3440.64
MikeJeong/apppp,3354.48
KunaalNaik/SentmentAnalysis_HF1,2834.52
Mahipal/nlp_dashboard,18048.88
rphrp1985/text-sentiment-1,70134.95999999999
prlabs2023/text-sentiment-1,70135.95999999999
Dranities/chatbots,28553.4
TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest,1934.48
TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest-gradio,1937.48
AIConsultant/sentiment-analysis-system,9156.88
dilums/twitter-sentiment,2520.48
salmanmoh/cardiffnlp-twitter-roberta-base-sentiment-latest,1947.48
10isha/cardiffnlp-twitter-roberta-base-sentiment-latest,1928.48
PradeepKumar11519/1stspace,1899.48
saipranaydeep/demo,1897.48
miscjose/Data-Annotation-Tool,9136.08
sotirios-slv/cardiffnlp-twitter-roberta-base-sentiment-latest,1929.48
dai152/1,2009.48
Fatima33/cardiffnlp-twitter-roberta-base-sentiment-latest,1931.48
springchill/cardiffnlp-sentiment,1904.48
data2science/cardiffnlp-twitter-roberta-base-sentiment-latest,1931.48
wsaults/cardiffnlp-twitter-roberta-base-sentiment-latest,1949.48
umair894/hamri-sumerization-wali-app,2321.48
dx1/cardiffnlp-twitter-roberta-base-sentiment-latest,1928.48
nyangasi/Twitter_Sentiment_Analysis_App,3750.88
farooq-09/cardiffnlp-twitter-roberta-base-sentiment-latest,1949.48
subhannadeem1/Audio_to_text_classification,5418.16
lu2000luk/toxic,1907.52
g8a9/ferret,13480.32
kyled/PhraseSentimentEmotionAnalysis,3025.36
imperialwool/funapi,8174.92
Sudheer/Pandavas3.0,37262.96000000001
